Layer,Neuron,W1,W2,W3,W4,W5,W6,b
H1,1,4.99197,-1.69889,-1.18561,-0.0425561,,,-0.216405
H1,2,-3.41605,3.17965,1.04331,0.00330159,,,-0.44816
H2,1,-9.45718,0.732894,,,,,-4.7637
H2,2,0.0459915,-3.22536,,,,,-0.190016
Output,1,53.5641,-42.7534,,,,,3.54762
